dates,hospitalisations
01/04/2020,0
02/04/2020,0
03/04/2020,0
04/04/2020,0
05/04/2020,0
06/04/2020,0
07/04/2020,0
08/04/2020,0
09/04/2020,0
10/04/2020,0
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,0
15/04/2020,0
16/04/2020,0
17/04/2020,0
18/04/2020,1
19/04/2020,1
20/04/2020,2
21/04/2020,2
22/04/2020,2
23/04/2020,4
24/04/2020,4
25/04/2020,5
26/04/2020,5
27/04/2020,7
28/04/2020,7
29/04/2020,10
30/04/2020,9
01/05/2020,12
02/05/2020,13
03/05/2020,15
04/05/2020,16
05/05/2020,19
06/05/2020,19
07/05/2020,23
08/05/2020,22
09/05/2020,27
10/05/2020,27
11/05/2020,30
12/05/2020,31
13/05/2020,34
14/05/2020,35
15/05/2020,39
16/05/2020,39
17/05/2020,43
18/05/2020,43
19/05/2020,47
20/05/2020,47
21/05/2020,51
22/05/2020,51
23/05/2020,55
24/05/2020,55
25/05/2020,59
26/05/2020,58
27/05/2020,62
28/05/2020,62
29/05/2020,65
30/05/2020,65
31/05/2020,68
01/06/2020,68
02/06/2020,71
03/06/2020,70
04/06/2020,73
05/06/2020,73
06/06/2020,75
07/06/2020,75
08/06/2020,77
09/06/2020,77
10/06/2020,78
11/06/2020,79
12/06/2020,80
13/06/2020,79
14/06/2020,81
15/06/2020,81
16/06/2020,81
17/06/2020,81
18/06/2020,82
19/06/2020,82
20/06/2020,82
21/06/2020,83
22/06/2020,83
23/06/2020,83
24/06/2020,83
25/06/2020,83
26/06/2020,82
27/06/2020,82
28/06/2020,83
29/06/2020,83
30/06/2020,82
01/07/2020,82
02/07/2020,81
03/07/2020,81
04/07/2020,81
05/07/2020,81
06/07/2020,80
07/07/2020,80
08/07/2020,79
09/07/2020,79
10/07/2020,77
11/07/2020,77
12/07/2020,77
13/07/2020,76
14/07/2020,75
15/07/2020,75
16/07/2020,74
17/07/2020,74
18/07/2020,72
19/07/2020,73
20/07/2020,71
21/07/2020,71
22/07/2020,70
23/07/2020,70
24/07/2020,68
25/07/2020,68
26/07/2020,67
27/07/2020,67
28/07/2020,65
29/07/2020,65
30/07/2020,64
31/07/2020,64
01/08/2020,62
02/08/2020,62
03/08/2020,61
04/08/2020,61
05/08/2020,60
06/08/2020,60
07/08/2020,58
08/08/2020,58
09/08/2020,56
10/08/2020,57
11/08/2020,55
12/08/2020,55
13/08/2020,53
14/08/2020,54
15/08/2020,52
16/08/2020,52
17/08/2020,51
18/08/2020,50
19/08/2020,49
20/08/2020,49
21/08/2020,47
22/08/2020,47
23/08/2020,46
24/08/2020,46
25/08/2020,45
26/08/2020,45
27/08/2020,44
28/08/2020,43
29/08/2020,42
30/08/2020,42
31/08/2020,41
01/09/2020,40
02/09/2020,38
03/09/2020,38
04/09/2020,37
05/09/2020,37
06/09/2020,35
07/09/2020,35
08/09/2020,34
09/09/2020,34
10/09/2020,32
11/09/2020,33
12/09/2020,31
13/09/2020,31
14/09/2020,30
15/09/2020,30
16/09/2020,28
17/09/2020,28
18/09/2020,27
19/09/2020,27
20/09/2020,26
21/09/2020,25
22/09/2020,24
23/09/2020,24
24/09/2020,24
25/09/2020,24
26/09/2020,22
27/09/2020,22
28/09/2020,21
29/09/2020,21
30/09/2020,20
01/10/2020,20
02/10/2020,19
03/10/2020,19
04/10/2020,18
05/10/2020,18
06/10/2020,17
07/10/2020,17
08/10/2020,17
09/10/2020,17
10/10/2020,15
11/10/2020,15
12/10/2020,14
13/10/2020,15
14/10/2020,14
15/10/2020,14
16/10/2020,13
17/10/2020,13
18/10/2020,12
19/10/2020,13
20/10/2020,12
21/10/2020,12
22/10/2020,11
23/10/2020,12
24/10/2020,10
25/10/2020,11
26/10/2020,10
27/10/2020,10
28/10/2020,9
29/10/2020,10
30/10/2020,9
31/10/2020,9
01/11/2020,9
02/11/2020,8
03/11/2020,8
04/11/2020,8
05/11/2020,7
06/11/2020,8
07/11/2020,7
08/11/2020,7
09/11/2020,7
10/11/2020,6
11/11/2020,6
12/11/2020,7
13/11/2020,6
14/11/2020,6
15/11/2020,6
16/11/2020,6
17/11/2020,5
18/11/2020,6
19/11/2020,5
20/11/2020,5
21/11/2020,5
22/11/2020,5
23/11/2020,5
24/11/2020,5
25/11/2020,4
26/11/2020,4
27/11/2020,4
28/11/2020,4
29/11/2020,4
30/11/2020,4
01/12/2020,3
02/12/2020,3
03/12/2020,3
04/12/2020,3
05/12/2020,3
06/12/2020,3
07/12/2020,3
08/12/2020,3
09/12/2020,3
10/12/2020,3
11/12/2020,2
12/12/2020,3
13/12/2020,2
14/12/2020,2
15/12/2020,2
16/12/2020,2
17/12/2020,2
18/12/2020,2
19/12/2020,2
20/12/2020,2
21/12/2020,2
22/12/2020,1
23/12/2020,1
24/12/2020,2
25/12/2020,2
26/12/2020,1
27/12/2020,1
28/12/2020,1
29/12/2020,1
30/12/2020,1
31/12/2020,1
01/01/2021,1
02/01/2021,1
03/01/2021,1
04/01/2021,1
05/01/2021,1
06/01/2021,1
07/01/2021,1
08/01/2021,1
09/01/2021,0
10/01/2021,0
11/01/2021,0
12/01/2021,1
13/01/2021,0
14/01/2021,0
15/01/2021,1
16/01/2021,1
17/01/2021,1
18/01/2021,1
19/01/2021,0
20/01/2021,0
21/01/2021,0
22/01/2021,0
23/01/2021,0
24/01/2021,0
25/01/2021,0
26/01/2021,0
27/01/2021,0
28/01/2021,0
29/01/2021,0
30/01/2021,0
31/01/2021,0
